mean1,mean2,stddev1,stddev2,variance,contrast,energy,homogeniety,correlation,dissimilarity,ASM,class
108.926199495,104.2045770202,28.0173372193,30.3090436622,2051.055916803,360.9500380904,0.0305584317,0.1527858432,0.9396410111,12.2225114271,0.0009338178,potassium
111.7910222222,112.4473777778,13.091711874,16.5483976935,823.8408368415,446.1106145251,0.0194597229,0.1241054292,0.8076705414,11.5253184358,0.0003786808,potassium
119.47025,102.94325,24.880776303,30.392701919,1893.7240956597,1140.0346835443,0.0248823542,0.1063242616,0.6901684243,19.9227848101,0.0006191315,potassium
98.062794702,107.4309602649,33.5669835677,43.0394739286,2646.9970799404,116.396203002,0.0782484939,0.3293116635,0.9815954122,5.1017199963,0.0061228268,potassium
122.7640126758,90.7448603684,49.2540013669,62.261624337,4101.6204153422,459.4841927471,0.2233824925,0.4118174102,0.9117901074,7.1141977149,0.0498997379,potassium
144.376146789,117.0519446957,20.119635459,37.0822998773,1265.5297441137,670.7850808555,0.0180760771,0.0696670749,0.712725179,17.8082942097,0.0003267446,potassium
145.0479725053,113.964748562,19.4272883106,22.614159715,1146.6995788818,147.5,0.0292320179,0.280884462,0.9497826914,6.0448318804,0.0008545109,potassium
100.2235230601,141.147146703,22.1853163903,27.2469033098,2409.3226862364,421.4429299637,0.0500774433,0.2251925362,0.9500780815,9.880777307,0.0025077503,healthy
46.8070960048,86.0872589942,50.5875985352,93.2408913672,6877.0001029787,721.5147047071,0.5253805809,0.6277181601,0.8955280208,6.815272117,0.2760247548,healthy
110.9181132075,150.2224528302,24.4745759285,38.1329024674,3612.0896007713,334.0953015873,0.0225324379,0.1619352169,0.9767714455,9.058984127,0.0005077108,healthy
92.063500473,177.3237464522,7.6337532755,13.5955546036,1996.806283159,126.8783238095,0.0367136916,0.3292593107,0.9643479017,5.4963809524,0.0013478951,healthy
94.0316764519,162.9684623929,15.4536553474,26.7448419853,1728.1255012277,390.685519191,0.0244159578,0.2053115032,0.8582212577,10.2045906992,0.000596139,healthy
110.2699539776,147.5108481262,29.9383582901,34.7062574623,1690.9090602119,484.1441225441,0.0511130671,0.3485094308,0.8668339734,8.4813852814,0.0026125456,healthy
88.4700298575,144.2056785533,27.3668637514,43.6044807859,2982.1599060715,909.335966477,0.0657769611,0.2364534753,0.8578311011,12.7810810046,0.0043266086,healthy
97.5039470334,175.7978100331,13.174348381,16.8272134582,1824.9783046648,141.0949323746,0.0297387041,0.229368993,0.9533088682,6.4774011299,0.0008843905,healthy
113.6041412291,139.8335368335,22.2348264273,27.5563962112,2407.4376293675,458.1270525452,0.0217774219,0.1644748461,0.9406175093,10.2321428571,0.0004742561,healthy
118.0919901235,137.2376888889,15.1310552059,16.1364214306,3116.4293560816,352.0704563492,0.3888994077,0.6099802008,0.9627311398,5.9938293651,0.1512427493,healthy
125.378082464,152.0704818679,15.2508035507,23.3911846884,1307.5629025395,501.2387818595,0.0199053525,0.24508236,0.8976857537,12.1044034941,0.0003962231,copper
96.1890373738,134.6241459942,26.870203397,37.5801728056,2534.5136692426,132.0338458309,0.055220938,0.3172322439,0.9824068473,5.9629270084,0.003049352,copper
115.5217729547,153.7057401426,15.8227377784,23.0287723235,1907.5732823136,85.385642812,0.0394583081,0.2687968257,0.9817565122,5.5781805084,0.0015569581,copper
120.7095412116,146.4410500671,10.8253165382,16.901270974,1149.3203634563,56.8197738252,0.0357562586,0.3612584225,0.9785228493,3.8567056434,0.00127851,copper
113.9991904762,143.5845238095,22.8412836207,28.7458949204,1294.9029472993,217.7793053892,0.034867901,0.1636941435,0.8871335819,9.8635209581,0.0012157705,copper
109.9279557253,156.2045743951,16.2858907999,24.5750149385,2065.8926533738,547.2974624292,0.0162574001,0.1324326937,0.9287133202,13.929440749,0.0002643031,copper
107.4414918415,135.9595253232,27.1828803493,34.4924162511,3407.4792775177,164.7915639609,0.0569522393,0.3245202035,0.9878853908,6.9135784105,0.0032435576,copper
109.5235230829,140.051594288,36.0690933295,46.8731382353,3150.5294670879,152.4061268716,0.0817564288,0.2863722783,0.977814673,7.0936761229,0.0066841136,copper
111.7857593795,154.2231240981,18.309544216,28.0294790304,2282.4557679532,176.6706154684,0.0210670245,0.1764449314,0.9752634604,8.4840686275,0.0004438195,copper
104.0423018422,144.3984789589,28.0654770282,36.8939304423,1577.1543336568,114.7195334586,0.0561469548,0.3101881683,0.9457424219,5.3813925143,0.0031524805,magnesium
105.7645137881,152.0153431474,31.4198007081,44.8129382304,2708.0705124954,273.3647305076,0.0664914189,0.1993976577,0.9494297971,8.9494505495,0.0044211088,magnesium
115.8761000754,137.3442293186,25.7167639543,31.5077998416,2602.846647792,433.3740613466,0.0422055436,0.2411021527,0.9529767384,11.046073565,0.0017813079,magnesium
116.9800585938,155.5765494792,24.5868369572,27.6680725591,1640.2841536892,391.6147312109,0.0249678581,0.1942264413,0.9185847719,12.5493606472,0.0006233939,magnesium
113.6226650881,155.4630031571,21.2920896129,26.0921658247,1525.9842928575,493.5680021173,0.021982431,0.0998736452,0.8874635053,15.7032454428,0.0004832273,magnesium
102.9856317183,151.7368875925,28.9774741554,43.8554705205,2596.1673869068,445.8953826108,0.0504516091,0.1432080687,0.9202498668,13.46866093,0.0025453649,magnesium
109.9933045719,151.3620853877,26.6404434717,38.2426452701,2264.959923779,976.9840290688,0.0374943478,0.1275985059,0.8109767291,17.2416483578,0.0014058261,magnesium
114.0763052209,150.5044176707,30.2369989454,41.4760048277,2268.4139971477,1797.9425268642,0.0297391974,0.0674417628,0.5941641257,30.4873005536,0.0008844199,magnesium
128.0339538347,154.0022338049,15.3918597323,26.0585084468,2374.5276405184,1731.831372549,0.0227117471,0.0949382628,0.7861710865,28.2814479638,0.0005158235,magnesium
118.7675613935,162.5995145631,13.682025741,21.9370160351,1602.0002913676,1666.7109114621,0.0150179388,0.0470405137,0.6862106569,29.6116504854,0.0002255385,magnesium
